Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01 00:00:00+05:30,5.301994498996601,5.321976787987021,5.236718750092511,5.308655261993408,10242229,0.0,0.0
1996-01-02 00:00:00+05:30,5.301993663712855,5.321975949555236,5.196752900848731,5.210074424743652,16954313,0.0,0.0
1996-01-03 00:00:00+05:30,5.210074851078753,5.328637147539629,5.196753326093745,5.21140718460083,13514114,0.0,0.0
1996-01-04 00:00:00+05:30,5.128813162558965,5.128813162558965,4.928988938097465,5.046219348907471,34785820,0.0,0.0
1996-01-05 00:00:00+05:30,4.984941289783736,5.008919677207322,4.895686241036153,4.946308135986328,30138033,0.0,0.0
1996-01-08 00:00:00+05:30,4.915669252548377,4.928990328198654,4.718509639420431,4.761138439178467,36752157,0.0,0.0
1996-01-09 00:00:00+05:30,4.662557992252828,4.7784560919873424,4.662557992252828,4.738491058349609,36964108,0.0,0.0
1996-01-10 00:00:00+05:30,4.738490304618057,4.82907721705803,4.662557250599624,4.713179588317871,35923053,0.0,0.0
1996-01-11 00:00:00+05:30,4.71584407386536,4.847727902122354,4.6998583335695585,4.82374906539917,27719296,0.0,0.0
1996-01-12 00:00:00+05:30,4.823749419313465,4.899682483267852,4.7757912897894865,4.805099010467529,31593194,0.0,0.0
1996-01-15 00:00:00+05:30,4.775791193622728,4.831742419033885,4.754477022946701,4.765134334564209,13352034,0.0,0.0
1996-01-16 00:00:00+05:30,4.765134762729129,4.795774366672925,4.718509416202188,4.755809783935547,19465667,0.0,0.0
1996-01-17 00:00:00+05:30,4.715843389569766,4.750479984876137,4.569306175871236,4.594616889953613,25512510,0.0,0.0
1996-01-18 00:00:00+05:30,4.530673579603717,4.562645511972721,4.422769043266631,4.497369766235352,31930712,0.0,0.0
1996-01-19 00:00:00+05:30,4.442750706299786,4.513355323779098,4.422768421089792,4.458736896514893,20078367,0.0,0.0
1996-01-22 00:00:00+05:30,4.502698772886684,4.546659898264903,4.456072980317872,4.5053629875183105,15288982,0.0,0.0
1996-01-23 00:00:00+05:30,4.46939437209487,4.524012348832318,4.26290939289906,4.326852798461914,16752158,0.0,0.0
1996-01-24 00:00:00+05:30,4.326853048006307,4.899681779621506,4.196302015069261,4.268238067626953,20708877,0.0,0.0
1996-01-25 00:00:00+05:30,4.262909969215271,4.277563828585806,4.149676547611707,4.176319599151611,15920383,0.0,0.0
1996-01-26 00:00:00+05:30,4.176319599151611,4.176319599151611,4.176319599151611,4.176319599151611,0,0.0,0.0
1996-01-29 00:00:00+05:30,4.131025251770568,4.396124734245869,4.131025251770568,4.366817474365234,32353724,0.0,0.0
1996-01-30 00:00:00+05:30,4.449412019135695,4.529341622434552,4.316196315343563,4.40411901473999,32019768,0.0,0.0
1996-01-31 00:00:00+05:30,4.422768419901196,4.609270653595463,4.389464611226823,4.448079586029053,34765337,0.0,0.0
1996-02-01 00:00:00+05:30,4.410779981469194,4.562646114580875,4.410779981469194,4.547992706298828,18475375,0.0,0.0
1996-02-02 00:00:00+05:30,4.642575561760728,4.935650505180167,4.582628691949772,4.879700183868408,39733722,0.0,0.0
